file,cc1_emotional_stability,cc2_linguistic_consistency,cc3_action_intention_alignment,dc1_adjacent_similarity,dc2_qa_relevance,dc3_topic_concentration,pr1_scene_similarity,pr2_event_coherence,regex_parsing_successful
output_benchmark_v5_gt.csv,0.702962378461117,0.913335554699229,0.8884268948107418,0.8370306579645285,0.8391507395142942,0.9037370486853686,0.9226974181096417,0.8981356926070881,1.0
gemini-2.0-flash-001_base.csv,0.03125,0.047350785363170084,0.04267131762872649,0.04399143339387331,0.0443317645966391,0.04705661475882562,0.0,0.8834341813974482,0.99
gemini-2.0-flash-001_cml.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8926198457639342,1.0
gemini-2.0-flash-001_instruction.csv,0.6389421502109001,0.9248722861395984,0.8881825006789188,0.8824087396338656,0.8715272788075743,0.9401901543970098,0.9386653660022418,0.9001694427905486,1.0
gemini-2.0-flash-001_rag.csv,0.6522896505999445,0.9214653147572704,0.8758688727639818,0.8528231848570931,0.859177635509165,0.9272590033330984,0.9447369384828543,0.9004164423181977,1.0
gemini-2.0-flash-lite-001_base.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8965309526798884,1.0
gemini-2.0-flash-lite-001_cml.csv,0.005,0.009314621080423864,0.008546808704414714,0.008294988163810395,0.008347903402881066,0.009218290944410663,0.00955504855834995,0.8936928940116828,1.0
gemini-2.0-flash-lite-001_instruction.csv,0.653715918753865,0.9236777726349276,0.8756009090839438,0.8556424401435588,0.8494331131972856,0.9280898187143509,0.9375255961877058,0.9006735515700628,1.0
gemini-2.0-flash-lite-001_rag.csv,0.6805323169885669,0.9040426588331298,0.8661350306099213,0.8291181948840225,0.8378946102952554,0.9181330921510218,0.8953442565003051,0.9013955314747792,1.0
internlm3-8b-instruct_base.csv,0.0885,0.09774512751093006,0.07885980267201326,0.16938673383041608,0.12213135216665208,0.17558160205032688,0.0,0.6472769592212397,0.81
internlm3-8b-instruct_cml.csv,0.4164930555555555,0.8034897436559406,0.8482748779283328,0.8926967810561899,0.8115534225339788,0.9496873876308973,0.9142342870403638,0.8998418184103414,1.0
internlm3-8b-instruct_instruction.csv,0.5835347222222222,0.8757113453614636,0.8588595323438638,0.8866783750027699,0.8663969694195817,0.9428085249897451,0.8947143032128764,0.8970510823004071,1.0
internlm3-8b-instruct_rag.csv,0.6845795454545451,0.9009681903198299,0.864962982394158,0.8832448877037489,0.8466243408939138,0.9389767511524005,0.8437909573591811,0.9044824686754431,1.0
meta_llama-4-maverick-17b-128e-instruct_base.csv,0.31351636904761904,0.44533894193370727,0.4232649196245976,0.4407923273772129,0.4240645211065675,0.47660733210245193,0.0,0.8434514416360583,0.94
meta_llama-4-maverick-17b-128e-instruct_cml.csv,0.3820833333333333,0.6437239109061451,0.845178267354578,0.8910079864962076,0.792863950043166,0.9520846139867458,0.9489756923029279,0.8994537237377942,1.0
meta_llama-4-maverick-17b-128e-instruct_instruction.csv,0.6287653006715507,0.9182415410043179,0.8866333582737234,0.8675710120727952,0.8326383690366531,0.9367009031089121,0.9474815048539565,0.9058801007908843,1.0
meta_llama-4-maverick-17b-128e-instruct_rag.csv,0.6204984668109667,0.8783668368283543,0.8709078978504259,0.8621341943531958,0.8270306580028327,0.9334088103511143,0.9367808406418813,0.902313933449815,1.0
meta_llama-4-scout-17b-16e-instruct_base.csv,0.319005303030303,0.43427393657013125,0.4057400971861221,0.46279855688531496,0.4003927545709962,0.48772223778728935,0.0,0.8617722295684861,1.0
meta_llama-4-scout-17b-16e-instruct_cml.csv,0.47312500000000013,0.8307569432312227,0.8665743867771262,0.8896576821915501,0.8010194219674293,0.9490281160630438,0.9528882455460189,0.8995717736518049,1.0
meta_llama-4-scout-17b-16e-instruct_instruction.csv,0.6721097733285233,0.9484797228048838,0.8768926737938278,0.871337738852177,0.8509796800659167,0.9367739306952144,0.9318657752319299,0.9062939548187992,1.0
meta_llama-4-scout-17b-16e-instruct_rag.csv,0.661221625960019,0.9356606135708863,0.8627070550338938,0.8572175288796725,0.8454211606482321,0.9242775092955052,0.9158360953978345,0.906839115324489,1.0
o3-mini_base.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8981514346714148,1.0
o3-mini_cml.csv,0.18227777777777773,0.19110924495317846,0.26747500072210006,0.2745369831277708,0.23825384241441167,0.29419009309170874,0.29173941610072385,0.8903469469425839,1.0
o3-mini_instruction.csv,0.615375,0.7581302722895962,0.8859923632468777,0.8925215121111658,0.7432254107739408,0.9493245954299709,0.9541230621912942,0.8987876174735476,1.0
o3-mini_rag.csv,0.6104623015873015,0.8774444174267585,0.8770161946074255,0.8754315948441629,0.8486125309908887,0.9415638267885018,0.9403703740327177,0.8988206586468915,1.0
o4-mini-2025-04-16_base.csv,0.013611111111111112,0.01890231513418084,0.017597141345788513,0.01690156382319593,0.017118274007253947,0.018733479677420405,0.0,0.8983464154594069,1.0
o4-mini-2025-04-16_cml.csv,0.6246180555555555,0.8241181730252843,0.8550348942481204,0.8728410818949469,0.8457948723085777,0.9375191557251662,0.965149779054133,0.8848890266225156,1.0
o4-mini-2025-04-16_instruction.csv,0.6597564784752282,0.9345035397413325,0.8826321756361025,0.8661861530831655,0.8625903305291819,0.931693535840956,0.9534711400752532,0.8975783766903562,1.0
o4-mini-2025-04-16_rag.csv,0.643483648989899,0.9221224710439343,0.8816281914747468,0.8550799615636202,0.8551472895040879,0.9283296269168564,0.9229210920036202,0.8992111393703774,1.0
